Date,Away Team,Away Team Odds,Away Team Decimal Odds,Away Team Implied Probability,Away Probability,Home Probability,Home Team Implied Probability,Home Team Decimal Odds,Home Team Odds,Home Team,source_file,actual_away_score,actual_home_score,actual_winner,prediction_correct,bet_placed,bet_outcome,predicted_winner,prediction_confidence,month
2024-12-10,CGY,145.0,2.45,0.40816326530612246,0.5332391734661613,0.4667608265338385,0.6363636363636364,1.57,-175.0,NSH,2024-12-10.csv,4.0,3.0,CGY,True,away,1.45,CGY,0.5332391734661613,2024-12
2024-12-10,BOS,120.0,2.2,0.45454545454545453,0.5,0.5,0.5833333333333334,1.71,-140.0,WPG,2024-12-10.csv,1.0,8.0,WPG,True,,0.0,WPG,0.5,2024-12
2024-12-10,TB,130.0,2.3,0.43478260869565216,0.4881220120686276,0.5118779879313725,0.6078431372549019,1.65,-155.0,EDM,2024-12-10.csv,1.0,2.0,EDM,True,,0.0,EDM,0.5118779879313725,2024-12
2024-12-10,MIN,-105.0,1.95,0.5121951219512195,0.5,0.5,0.5348837209302325,1.87,-115.0,UHC,2024-12-10.csv,5.0,4.0,MIN,False,,0.0,UHC,0.5,2024-12
2024-12-10,STL,145.0,2.45,0.40816326530612246,0.5383283621250783,0.4616716378749216,0.6363636363636364,1.57,-175.0,VAN,2024-12-10.csv,4.0,3.0,STL,True,away,1.45,STL,0.5383283621250783,2024-12
2024-12-10,FLA,-190.0,1.53,0.6551724137931034,0.5344629207399983,0.4655370792600016,0.39215686274509803,2.55,155.0,SEA,2024-12-10.csv,2.0,1.0,FLA,True,,0.0,FLA,0.5344629207399983,2024-12
2024-12-11,NYR,-140.0,1.71,0.5833333333333334,0.5,0.5,0.45454545454545453,2.2,120.0,BUF,2024-12-11.csv,3.0,2.0,NYR,False,,0.0,BUF,0.5,2024-12
2024-12-11,ANA,200.0,3.0,0.3333333333333333,0.4460465355348874,0.5539534644651126,0.7142857142857143,1.4,-250.0,OTT,2024-12-11.csv,1.0,5.0,OTT,True,,0.0,OTT,0.5539534644651126,2024-12
2024-12-12,ANA,340.0,4.4,0.22727272727272727,0.4522056017198718,0.5477943982801282,0.8181818181818182,1.22,-450.0,TOR,2024-12-12.csv,2.0,3.0,TOR,True,,0.0,TOR,0.5477943982801282,2024-12
2024-12-12,PIT,-120.0,1.83,0.5454545454545454,0.4918524061510931,0.5081475938489068,0.5,2.0,100.0,MTL,2024-12-12.csv,9.0,2.0,PIT,False,home,-1.0,MTL,0.5081475938489068,2024-12
2024-12-12,LA,130.0,2.3,0.43478260869565216,0.5140477301953815,0.4859522698046185,0.6078431372549019,1.65,-155.0,NJ,2024-12-12.csv,1.0,3.0,NJ,False,away,-1.0,LA,0.5140477301953815,2024-12
2024-12-12,DET,100.0,2.0,0.5,0.4853362901231043,0.5146637098768956,0.5454545454545454,1.83,-120.0,PHI,2024-12-12.csv,1.0,4.0,PHI,True,,0.0,PHI,0.5146637098768956,2024-12
2024-12-12,WSH,-175.0,1.57,0.6363636363636364,0.4839776477934378,0.516022352206562,0.40816326530612246,2.45,145.0,CBJ,2024-12-12.csv,2.0,1.0,WSH,False,home,-1.0,CBJ,0.516022352206562,2024-12
2024-12-12,CHI,155.0,2.55,0.39215686274509803,0.4867093303020228,0.5132906696979772,0.6551724137931034,1.53,-190.0,NYI,2024-12-12.csv,4.0,5.0,NYI,True,,0.0,NYI,0.5132906696979772,2024-12
2024-12-12,SJ,145.0,2.45,0.40816326530612246,0.5,0.5,0.6363636363636364,1.57,-175.0,STL,2024-12-12.csv,4.0,3.0,SJ,False,,0.0,STL,0.5,2024-12
2024-12-12,NSH,180.0,2.8,0.35714285714285715,0.5256081441036426,0.4743918558963573,0.6923076923076923,1.44,-225.0,DAL,2024-12-12.csv,4.0,1.0,NSH,True,away,1.8,NSH,0.5256081441036426,2024-12
2024-12-12,VGK,100.0,2.0,0.5,0.5400911454251451,0.4599088545748548,0.5454545454545454,1.83,-120.0,WPG,2024-12-12.csv,3.0,2.0,VGK,True,away,1.0,VGK,0.5400911454251451,2024-12
2024-12-12,EDM,-140.0,1.71,0.5833333333333334,0.5457070315205175,0.4542929684794825,0.45454545454545453,2.2,120.0,MIN,2024-12-12.csv,7.0,1.0,EDM,True,,0.0,EDM,0.5457070315205175,2024-12
2024-12-12,UHC,150.0,2.5,0.4,0.533355935860057,0.4666440641399431,0.6491228070175439,1.54,-185.0,COL,2024-12-12.csv,4.0,1.0,UHC,True,away,1.5,UHC,0.533355935860057,2024-12
2024-12-12,TB,-155.0,1.65,0.6078431372549019,0.4732778746501598,0.5267221253498401,0.43478260869565216,2.3,130.0,CGY,2024-12-12.csv,8.0,3.0,TB,False,home,-1.0,CGY,0.5267221253498401,2024-12
2024-12-12,FLA,-185.0,1.54,0.6491228070175439,0.5641291039247784,0.4358708960752216,0.4,2.5,150.0,VAN,2024-12-12.csv,0.0,4.0,VAN,False,,0.0,FLA,0.5641291039247784,2024-12
2024-12-12,BOS,-115.0,1.87,0.5348837209302325,0.4921325785094455,0.5078674214905545,0.5121951219512195,1.95,-105.0,SEA,2024-12-12.csv,1.0,5.0,SEA,True,,0.0,SEA,0.5078674214905545,2024-12
2024-12-13,OTT,170.0,2.7,0.37037037037037035,0.5,0.5,0.6774193548387096,1.48,-210.0,CAR,2024-12-13.csv,3.0,0.0,OTT,False,,0.0,CAR,0.5,2024-12
2024-12-14,CHI,290.0,3.9,0.2564102564102564,0.4856807527902962,0.5143192472097039,0.7894736842105263,1.27,-375.0,NJ,2024-12-14.csv,1.0,4.0,NJ,True,,0.0,NJ,0.5143192472097039,2024-12
2024-12-14,LA,-110.0,1.91,0.5238095238095238,0.5,0.5,0.5238095238095238,1.91,-110.0,NYR,2024-12-14.csv,5.0,1.0,LA,False,,0.0,NYR,0.5,2024-12
2024-12-14,PHI,130.0,2.3,0.43478260869565216,0.5112480972775129,0.4887519027224874,0.6078431372549019,1.65,-155.0,MIN,2024-12-14.csv,1.0,4.0,MIN,False,away,-1.0,PHI,0.5112480972775129,2024-12
2024-12-14,VGK,125.0,2.25,0.4444444444444444,0.5146066720168211,0.4853933279831789,0.5918367346938775,1.69,-145.0,EDM,2024-12-14.csv,3.0,6.0,EDM,False,away,-1.0,VGK,0.5146066720168211,2024-12
2024-12-14,PIT,115.0,2.15,0.46511627906976744,0.5339475224175532,0.4660524775824467,0.574468085106383,1.74,-135.0,OTT,2024-12-14.csv,2.0,3.0,OTT,False,away,-1.0,PIT,0.5339475224175532,2024-12
2024-12-14,TOR,-185.0,1.54,0.6491228070175439,0.4927368885938842,0.5072631114061159,0.39215686274509803,2.55,155.0,DET,2024-12-14.csv,2.0,4.0,DET,True,home,1.55,DET,0.5072631114061159,2024-12
2024-12-14,BUF,155.0,2.55,0.39215686274509803,0.5493771609276908,0.450622839072309,0.6491228070175439,1.54,-185.0,WSH,2024-12-14.csv,2.0,4.0,WSH,False,away,-1.0,BUF,0.5493771609276908,2024-12
2024-12-14,ANA,150.0,2.5,0.4,0.4624981734223076,0.5375018265776922,0.6491228070175439,1.54,-185.0,CBJ,2024-12-14.csv,4.0,3.0,ANA,False,,0.0,CBJ,0.5375018265776922,2024-12
2024-12-14,MTL,220.0,3.2,0.3125,0.4642235937275024,0.5357764062724975,0.7333333333333333,1.36,-275.0,WPG,2024-12-14.csv,2.0,4.0,WPG,True,,0.0,WPG,0.5357764062724975,2024-12
2024-12-14,STL,200.0,3.0,0.3333333333333333,0.5184191987635987,0.4815808012364012,0.7142857142857143,1.4,-250.0,DAL,2024-12-14.csv,1.0,2.0,DAL,False,away,-1.0,STL,0.5184191987635987,2024-12
2024-12-14,NSH,145.0,2.45,0.40816326530612246,0.5163286898428134,0.4836713101571865,0.6363636363636364,1.57,-175.0,COL,2024-12-14.csv,2.0,5.0,COL,False,away,-1.0,NSH,0.5163286898428134,2024-12
2024-12-14,FLA,-200.0,1.5,0.6666666666666666,0.491288372312949,0.5087116276870511,0.37735849056603776,2.65,165.0,CGY,2024-12-14.csv,0.0,3.0,CGY,True,home,1.65,CGY,0.5087116276870511,2024-12
2024-12-14,BOS,115.0,2.15,0.46511627906976744,0.523780856546919,0.4762191434530811,0.574468085106383,1.74,-135.0,VAN,2024-12-14.csv,5.0,1.0,BOS,True,away,1.15,BOS,0.523780856546919,2024-12
2024-12-14,UHC,-190.0,1.53,0.6551724137931034,0.523122092426509,0.4768779075734909,0.39215686274509803,2.55,155.0,SJ,2024-12-14.csv,4.0,3.0,UHC,True,,0.0,UHC,0.523122092426509,2024-12
