Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2024-11-23 - UHC 6, PIT 1",UHC,46.54,39.24,37.05,25.75,25.64,17.88,3.22,0.0,2.7,1.44,30.07,18.57,12.49,6.16,12.49,4.47,2.15,0.0,17.82,12.11,6.47,2.76,1.04,0.0,23.01,27.83,6.85,10.38,0.0,0.0,1.125
"2024-11-23 - NJ 3, WSH 2",WSH,60.04,46.59,34.4,27.87,21.32,20.37,0.94,1.06,1.72,1.3,24.79,11.82,10.91,5.48,5.44,3.28,0.0,0.0,13.65,6.4,3.76,5.25,0.0,0.0,35.24,31.33,12.02,11.95,0.95,1.05,0.992
"2024-11-23 - NJ 3, WSH 2",NJ,46.59,60.04,27.87,34.4,20.37,21.32,1.06,0.94,1.3,1.72,11.82,24.79,5.48,10.91,3.28,5.44,0.0,0.0,6.4,13.65,5.25,3.76,0.0,0.0,31.33,35.24,11.95,12.02,1.05,0.95,1.008
"2024-11-23 - CAR 4, CBJ 5",CBJ,33.66,57.51,27.93,38.62,21.05,26.3,1.89,3.08,1.81,2.21,17.22,25.8,7.45,11.62,6.51,7.31,0.0,1.06,9.78,14.13,3.87,5.13,1.9,1.06,15.13,38.13,7.63,12.72,0.0,0.94,0.973
"2024-11-23 - CAR 4, CBJ 5",CAR,57.51,33.66,38.62,27.93,26.3,21.05,3.08,1.89,2.21,1.81,25.8,17.22,11.62,7.45,7.31,6.51,1.06,0.0,14.13,9.78,5.13,3.87,1.06,1.9,38.13,15.13,12.72,7.63,0.94,0.0,1.027
"2024-11-23 - WPG 1, NSH 4",NSH,49.12,33.78,37.54,22.49,28.34,16.49,1.93,1.01,2.01,1.39,20.69,12.12,10.69,3.98,6.89,3.93,0.99,1.01,10.05,8.05,7.93,3.03,0.0,0.0,35.57,17.12,12.6,7.55,0.95,0.0,1.007
"2024-11-23 - WPG 1, NSH 4",WPG,33.78,49.12,22.49,37.54,16.49,28.34,1.01,1.93,1.39,2.01,12.12,20.69,3.98,10.69,3.93,6.89,1.01,0.99,8.05,10.05,3.03,7.93,0.0,0.0,17.12,35.57,7.55,12.6,0.0,0.95,0.993
"2024-11-23 - STL 1, NYI 3",STL,52.43,42.62,30.28,36.19,22.47,26.22,0.0,0.94,1.35,2.15,20.27,15.68,7.26,5.87,3.02,3.99,0.0,0.0,12.87,9.89,7.02,5.85,0.0,0.95,31.35,37.18,11.3,16.74,0.0,0.0,0.964
"2024-11-23 - STL 1, NYI 3",NYI,42.62,52.43,36.19,30.28,26.22,22.47,0.94,0.0,2.15,1.35,15.68,20.27,5.87,7.26,3.99,3.02,0.0,0.0,9.89,12.87,5.85,7.02,0.95,0.0,37.18,31.35,16.74,11.3,0.0,0.0,1.036
"2024-11-23 - BUF 4, SJ 2",SJ,45.77,48.29,34.48,34.15,22.48,24.05,1.89,2.02,2.32,1.25,27.17,14.47,7.6,2.18,3.85,1.11,1.88,0.0,19.72,12.12,9.65,9.15,0.0,2.12,20.06,42.93,8.07,13.56,0.0,0.0,1.0
"2024-11-23 - BUF 4, SJ 2",BUF,48.29,45.77,34.15,34.48,24.05,22.48,2.02,1.89,1.25,2.32,14.47,27.17,2.18,7.6,1.11,3.85,0.0,1.88,12.12,19.72,9.15,9.65,2.12,0.0,42.93,20.06,13.56,8.07,0.0,0.0,1.0
"2024-11-23 - NYR 2, EDM 6",EDM,47.59,43.36,37.9,32.17,33.69,24.46,3.93,2.01,2.09,2.27,21.15,21.2,7.87,9.98,7.98,6.89,0.98,0.0,13.46,11.01,11.15,6.73,2.95,2.0,31.07,24.85,14.44,9.88,0.0,0.0,1.035
"2024-11-23 - NYR 2, EDM 6",NYR,43.36,47.59,32.17,37.9,24.46,33.69,2.01,3.93,2.27,2.09,21.2,21.15,9.98,7.87,6.89,7.98,0.0,0.98,11.01,13.46,6.73,11.15,2.0,2.95,24.85,31.07,9.88,14.44,0.0,0.0,0.965
"2024-11-24 - UHC 2, TOR 3",UHC,45.57,46.91,35.01,35.79,20.02,23.86,1.01,1.91,1.59,2.16,20.57,21.46,8.17,9.75,4.99,6.01,1.04,0.99,12.35,11.71,6.18,6.85,0.0,0.96,31.94,23.08,7.84,6.91,0.0,0.0,0.971
"2024-11-24 - UHC 2, TOR 3",TOR,46.91,45.57,35.79,35.01,23.86,20.02,1.91,1.01,2.16,1.59,21.46,20.57,9.75,8.17,6.01,4.99,0.99,1.04,11.71,12.35,6.85,6.18,0.96,0.0,23.08,31.94,6.91,7.84,0.0,0.0,1.029
"2024-11-25 - COL 2, TB 8",COL,39.0,61.36,26.34,45.96,20.09,29.06,2.02,4.92,1.91,3.37,19.88,29.26,8.76,13.2,6.72,7.34,1.04,1.96,10.89,16.28,5.73,10.52,1.0,1.95,21.73,44.24,7.58,9.91,0.0,1.06,0.931
"2024-11-25 - COL 2, TB 8",TB,61.36,39.0,45.96,26.34,29.06,20.09,4.92,2.02,3.37,1.91,29.26,19.88,13.2,8.76,7.34,6.72,1.96,1.04,16.28,10.89,10.52,5.73,1.95,1.0,44.24,21.73,9.91,7.58,1.06,0.0,1.069
"2024-11-25 - WSH 4, FLA 1",FLA,36.71,60.76,29.84,42.25,16.3,23.72,0.94,1.01,1.95,2.24,17.12,30.55,6.54,10.8,2.84,6.44,0.0,0.0,10.57,19.78,4.81,6.27,0.95,1.06,23.31,39.71,8.65,9.95,0.0,0.0,1.015
"2024-11-25 - WSH 4, FLA 1",WSH,60.76,36.71,42.25,29.84,23.72,16.3,1.01,0.94,2.24,1.95,30.55,17.12,10.8,6.54,6.44,2.84,0.0,0.0,19.78,10.57,6.27,4.81,1.06,0.95,39.71,23.31,9.95,8.65,0.0,0.0,0.985
"2024-11-25 - NSH 2, NJ 5",NSH,27.61,56.39,17.35,47.38,14.56,34.26,2.06,2.85,0.89,3.46,8.03,28.01,4.04,17.72,3.0,12.06,1.02,2.82,3.97,10.15,1.97,7.06,0.0,0.0,16.91,33.1,7.5,12.94,1.05,0.0,1.058
"2024-11-25 - NSH 2, NJ 5",NJ,56.39,27.61,47.38,17.35,34.26,14.56,2.85,2.06,3.46,0.89,28.01,8.03,17.72,4.04,12.06,3.0,2.82,1.02,10.15,3.97,7.06,1.97,0.0,0.0,33.1,16.91,12.94,7.5,0.0,1.05,0.942
"2024-11-25 - STL 5, NYR 2",NYR,43.25,57.3,29.33,44.59,21.97,33.55,1.87,3.14,1.43,3.43,21.37,34.11,5.49,15.07,2.78,11.73,0.94,2.14,15.83,19.16,6.71,9.44,0.96,1.06,20.73,25.5,9.55,11.51,0.0,0.0,0.991
"2024-11-25 - STL 5, NYR 2",STL,57.3,43.25,44.59,29.33,33.55,21.97,3.14,1.87,3.43,1.43,34.11,21.37,15.07,5.49,11.73,2.78,2.14,0.94,19.16,15.83,9.44,6.71,1.06,0.96,25.5,20.73,11.51,9.55,0.0,0.0,1.009
"2024-11-25 - VGK 5, PHI 4",VGK,46.82,59.07,33.15,43.91,26.49,28.52,3.03,3.91,2.4,2.71,23.51,29.16,8.01,13.74,6.93,10.03,1.04,2.9,15.18,15.58,8.81,5.93,2.06,0.94,26.63,38.38,10.75,11.45,0.0,0.0,0.977
"2024-11-25 - VGK 5, PHI 4",PHI,59.07,46.82,43.91,33.15,28.52,26.49,3.91,3.03,2.71,2.4,29.16,23.51,13.74,8.01,10.03,6.93,2.9,1.04,15.58,15.18,5.93,8.81,0.94,2.06,38.38,26.63,11.45,10.75,0.0,0.0,1.023
"2024-11-25 - DAL 4, CAR 6",DAL,36.83,45.89,28.91,36.36,16.96,25.71,4.2,1.87,2.36,1.88,21.71,23.59,10.86,8.21,7.51,5.62,2.14,0.0,11.07,15.08,4.27,7.42,1.05,1.03,19.1,32.59,4.1,12.45,0.94,0.89,1.175
"2024-11-25 - DAL 4, CAR 6",CAR,45.89,36.83,36.36,28.91,25.71,16.96,1.87,4.2,1.88,2.36,23.59,21.71,8.21,10.86,5.62,7.51,0.0,2.14,15.08,11.07,7.42,4.27,1.03,1.05,32.59,19.1,12.45,4.1,0.89,0.94,0.825
"2024-11-25 - CGY 3, OTT 4",CGY,38.11,38.84,23.21,24.21,17.42,17.97,1.01,1.91,1.28,1.02,14.85,17.7,5.03,4.75,3.99,4.8,1.04,1.91,9.67,13.17,5.04,3.91,0.0,0.0,26.49,21.99,7.4,9.38,0.0,0.0,0.952
"2024-11-25 - CGY 3, OTT 4",OTT,38.84,38.11,24.21,23.21,17.97,17.42,1.91,1.01,1.02,1.28,17.7,14.85,4.75,5.03,4.8,3.99,1.91,1.04,13.17,9.67,3.91,5.04,0.0,0.0,21.99,26.49,9.38,7.4,0.0,0.0,1.048
"2024-11-25 - DET 4, NYI 2",NYI,38.51,45.36,30.48,33.19,19.75,18.26,1.89,3.08,1.5,2.16,11.46,20.93,6.55,10.56,3.85,6.38,0.94,1.01,4.86,10.4,3.87,4.13,0.95,1.05,26.53,22.3,10.22,7.66,0.0,0.94,0.927
"2024-11-25 - DET 4, NYI 2",DET,45.36,38.51,33.19,30.48,18.26,19.75,3.08,1.89,2.16,1.5,20.93,11.46,10.56,6.55,6.38,3.85,1.01,0.94,10.4,4.86,4.13,3.87,1.05,0.95,22.3,26.53,7.66,10.22,0.94,0.0,1.073
"2024-11-25 - WPG 4, MIN 1",MIN,53.47,57.06,37.78,40.69,30.49,27.54,0.94,2.07,2.31,2.41,19.68,27.09,10.18,12.03,8.45,8.68,0.94,2.07,9.37,15.21,2.91,7.37,0.0,0.0,34.01,28.91,17.98,8.28,0.0,0.0,0.956
"2024-11-25 - WPG 4, MIN 1",WPG,57.06,53.47,40.69,37.78,27.54,30.49,2.07,0.94,2.41,2.31,27.09,19.68,12.03,10.18,8.68,8.45,2.07,0.94,15.21,9.37,7.37,2.91,0.0,0.0,28.91,34.01,8.28,17.98,0.0,0.0,1.044
"2024-11-25 - SEA 3, ANA 2",ANA,33.59,57.52,22.36,42.78,13.93,22.63,0.94,3.12,1.16,1.89,10.18,11.6,4.62,5.2,2.78,2.05,0.94,1.01,5.46,6.46,1.9,2.1,0.0,0.0,18.86,45.51,5.48,17.22,0.0,2.11,0.93
"2024-11-25 - SEA 3, ANA 2",SEA,57.52,33.59,42.78,22.36,22.63,13.93,3.12,0.94,1.89,1.16,11.6,10.18,5.2,4.62,2.05,2.78,1.01,0.94,6.46,5.46,2.1,1.9,0.0,0.0,45.51,18.86,17.22,5.48,2.11,0.0,1.07
