Game,Team,Unnamed: 2,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDSF,HDSA,HDSF%,HDGF,HDGA,HDGF%,HDSH%,HDSV%,MDCF,MDCA,MDCF%,MDSF,MDSA,MDSF%,MDGF,MDGA,MDGF%,MDSH%,MDSV%,LDCF,LDCA,LDCF%,LDSF,LDSA,LDSF%,LDGF,LDGA,LDGF%,LDSH%,LDSV%,SH%,SV%,PDO,Attendance
"2024-04-11 - DET 5, PIT 6",DET,Limited ReportFull Report,47.133333333333,48.69,41.36,54.07,35.42,27.01,56.74,23.52,19.17,55.1,5.06,3.82,57.00,2.83,1.64,63.41,28.06,19.36,59.17,12.15,8.48,58.91,10.05,3.78,72.65,4.07,1.88,68.35,40.46,50.24,15.72,10.96,58.92,4.01,6.96,36.55,0.0,1.89,0.00,0.00,72.84,27.24,22.79,54.45,8.56,7.32,53.9,0.93,0.0,100.00,10.88,100.0,21.52,80.08,1.016,18294
"2024-04-11 - DET 5, PIT 6",PIT,Limited ReportFull Report,47.133333333333,41.36,48.69,45.93,27.01,35.42,43.26,19.17,23.52,44.9,3.82,5.06,43.00,1.64,2.83,36.59,19.36,28.06,40.83,8.48,12.15,41.09,3.78,10.05,27.35,1.88,4.07,31.65,49.76,59.54,10.96,15.72,41.08,6.96,4.01,63.45,1.89,0.0,100.00,27.16,100.00,22.79,27.24,45.55,7.32,8.56,46.1,0.0,0.93,0.00,0.0,89.12,19.92,78.48,0.984,18294
"2024-04-11 - OTT 3, TB 2",OTT,Limited ReportFull Report,45.6,47.57,29.79,61.49,28.03,18.73,59.95,14.01,14.83,48.59,2.07,1.87,52.55,1.66,1.07,60.69,26.57,13.42,66.44,7.27,6.62,52.35,4.03,3.72,51.96,1.01,1.86,35.20,25.08,50.08,19.07,6.79,73.74,6.12,2.97,67.36,1.05,0.0,100.00,17.19,100.00,19.59,19.26,50.43,3.04,8.16,27.15,0.0,0.0,-,0.0,100.0,14.75,87.41,1.022,19092
"2024-04-11 - OTT 3, TB 2",TB,Limited ReportFull Report,45.6,29.79,47.57,38.51,18.73,28.03,40.05,14.83,14.01,51.41,1.87,2.07,47.45,1.07,1.66,39.31,13.42,26.57,33.56,6.62,7.27,47.65,3.72,4.03,48.04,1.86,1.01,64.80,49.92,74.92,6.79,19.07,26.26,2.97,6.12,32.64,0.0,1.05,0.00,0.00,82.81,19.26,19.59,49.57,8.16,3.04,72.85,0.0,0.0,-,0.0,100.0,12.59,85.25,0.978,19092
"2024-04-11 - NJ 6, TOR 5",NJ,Limited ReportFull Report,50.533333333333,40.45,57.65,41.24,24.77,39.78,38.37,15.43,26.82,36.52,3.08,4.68,39.69,1.53,2.7,36.17,18.0,26.91,40.09,7.38,11.81,38.47,3.1,7.4,29.51,2.02,2.78,42.11,65.26,62.45,10.68,15.0,41.58,3.09,5.74,34.96,1.05,1.9,35.69,34.09,66.98,19.34,37.09,34.27,9.21,10.68,46.29,0.0,0.0,-,0.0,100.0,19.96,82.56,1.025,18618
"2024-04-11 - NJ 6, TOR 5",TOR,Limited ReportFull Report,50.533333333333,57.65,40.45,58.76,39.78,24.77,61.63,26.82,15.43,63.48,4.68,3.08,60.31,2.7,1.53,63.83,26.91,18.0,59.91,11.81,7.38,61.53,7.4,3.1,70.49,2.78,2.02,57.89,37.55,34.74,15.0,10.68,58.42,5.74,3.09,65.04,1.9,1.05,64.31,33.02,65.91,37.09,19.34,65.73,10.68,9.21,53.71,0.0,0.0,-,0.0,100.0,17.44,80.04,0.975,18618
"2024-04-11 - MTL 2, NYI 3",MTL,Limited ReportFull Report,51.733333333333,32.43,60.26,34.99,19.88,43.02,31.6,13.49,26.89,33.41,2.11,1.85,53.35,1.16,3.15,26.89,15.9,31.01,33.89,5.43,18.44,22.75,2.17,10.23,17.49,0.0,0.92,0.00,0.00,91.03,10.43,12.39,45.71,4.11,4.81,46.08,1.05,0.96,52.27,25.57,80.04,14.67,34.88,29.61,6.17,10.76,36.44,1.05,0.0,100.00,17.08,100.0,15.66,93.13,1.088,17255
"2024-04-11 - MTL 2, NYI 3",NYI,Limited ReportFull Report,51.733333333333,60.26,32.43,65.01,43.02,19.88,68.4,26.89,13.49,66.59,1.85,2.11,46.65,3.15,1.16,73.11,31.01,15.9,66.11,18.44,5.43,77.25,10.23,2.17,82.51,0.92,0.0,100.00,8.97,100.00,12.39,10.43,54.29,4.81,4.11,53.92,0.96,1.05,47.73,19.96,74.43,34.88,14.67,70.39,10.76,6.17,63.56,0.0,1.05,0.00,0.0,82.92,6.87,84.34,0.912,17255
"2024-04-11 - WPG 3, DAL 0",WPG,Limited ReportFull Report,51.783333333333,45.66,47.61,48.95,37.41,34.22,52.23,23.93,20.92,53.36,2.13,0.0,100.00,1.63,1.56,50.99,14.15,20.36,41.0,9.93,7.08,58.35,8.75,0.87,90.97,2.14,0.0,100.00,24.47,100.00,4.34,12.98,25.06,1.1,6.37,14.69,0.0,0.0,-,0.00,100.00,32.22,29.56,52.16,14.41,11.02,56.66,0.0,0.0,-,0.0,100.0,8.91,100.0,1.089,18532
"2024-04-11 - WPG 3, DAL 0",DAL,Limited ReportFull Report,51.783333333333,47.61,45.66,51.05,34.22,37.41,47.77,20.92,23.93,46.64,0.0,2.13,0.00,1.56,1.63,49.01,20.36,14.15,59.0,7.08,9.93,41.65,0.87,8.75,9.03,0.0,2.14,0.00,0.00,75.53,12.98,4.34,74.94,6.37,1.1,85.31,0.0,0.0,-,0.00,100.00,29.56,32.22,47.84,11.02,14.41,43.34,0.0,0.0,-,0.0,100.0,0.0,91.09,0.911,18532
"2024-04-11 - SJ 3, SEA 1",SJ,Limited ReportFull Report,46.85,42.52,68.9,38.16,36.07,46.08,43.9,24.47,33.48,42.23,3.19,0.92,77.54,1.51,3.78,28.63,19.17,32.69,36.97,5.44,15.76,25.67,4.35,10.41,29.49,2.14,0.0,100.00,49.17,100.00,13.68,16.71,45.03,5.28,8.7,37.77,1.05,0.96,52.27,19.92,88.96,32.88,41.94,43.94,13.73,11.28,54.89,0.0,0.0,-,0.0,100.0,13.03,97.24,1.103,17151
"2024-04-11 - SJ 3, SEA 1",SEA,Limited ReportFull Report,46.85,68.9,42.52,61.84,46.08,36.07,56.1,33.48,24.47,57.77,0.92,3.19,22.46,3.78,1.51,71.37,32.69,19.17,63.03,15.76,5.44,74.33,10.41,4.35,70.51,0.0,2.14,0.00,0.00,50.83,16.71,13.68,54.97,8.7,5.28,62.23,0.96,1.05,47.73,11.04,80.08,41.94,32.88,56.06,11.28,13.73,45.11,0.0,0.0,-,0.0,100.0,2.76,86.97,0.897,17151
"2024-04-11 - CGY 1, LA 4",CGY,Limited ReportFull Report,51.8,45.54,49.71,47.81,33.68,36.1,48.26,21.73,21.22,50.58,1.0,1.97,33.72,1.44,2.19,39.66,16.38,25.53,39.08,4.91,9.96,33.02,1.94,5.12,27.51,1.02,0.0,100.00,52.63,100.00,11.17,15.85,41.34,3.98,6.11,39.46,0.0,0.98,0.00,0.00,84.00,29.28,27.5,51.57,13.17,10.09,56.61,0.0,1.06,0.00,0.0,89.48,4.62,90.7,0.953,17340
"2024-04-11 - CGY 1, LA 4",LA,Limited ReportFull Report,51.8,49.71,45.54,52.19,36.1,33.68,51.74,21.22,21.73,49.42,1.97,1.0,66.28,2.19,1.44,60.34,25.53,16.38,60.92,9.96,4.91,66.98,5.12,1.94,72.49,0.0,1.02,0.00,0.00,47.37,15.85,11.17,58.66,6.11,3.98,60.54,0.98,0.0,100.00,16.00,100.00,27.5,29.28,48.43,10.09,13.17,43.39,1.06,0.0,100.00,10.52,100.0,9.3,95.38,1.047,17340
"2024-04-12 - CAR 5, STL 2",CAR,Limited ReportFull Report,51.05,63.47,42.2,60.06,44.18,29.57,59.9,32.78,23.88,57.85,2.02,0.94,68.19,2.4,1.54,60.91,24.96,15.05,62.38,8.46,4.62,64.67,7.32,4.67,61.03,0.0,0.0,-,0.00,100.00,16.43,10.43,61.17,7.17,6.71,51.63,2.12,0.95,69.06,29.53,85.88,43.75,27.94,61.03,17.32,9.64,64.25,0.0,0.0,-,0.0,100.0,6.17,96.05,1.022,18096
"2024-04-12 - CAR 5, STL 2",STL,Limited ReportFull Report,51.05,42.2,63.47,39.94,29.57,44.18,40.1,23.88,32.78,42.15,0.94,2.02,31.81,1.54,2.4,39.09,15.05,24.96,37.62,4.62,8.46,35.33,4.67,7.32,38.97,0.0,0.0,-,0.00,100.00,10.43,16.43,38.83,6.71,7.17,48.37,0.95,2.12,30.94,14.12,70.47,27.94,43.75,38.97,9.64,17.32,35.75,0.0,0.0,-,0.0,100.0,3.95,93.83,0.978,18096
"2024-04-12 - NSH 5, CHI 1",NSH,Limited ReportFull Report,49.566666666667,63.48,32.18,66.36,50.03,24.19,67.4,37.24,17.32,68.25,2.13,0.0,100.00,2.97,1.83,61.91,30.69,18.16,62.83,10.37,9.26,52.82,8.1,6.65,54.93,2.15,0.0,100.00,26.59,100.00,20.61,8.68,70.38,12.0,5.47,68.69,0.0,0.0,-,0.00,100.00,35.89,15.99,69.17,16.08,4.25,79.09,0.0,0.0,-,0.0,100.0,5.71,100.0,1.057,19449
"2024-04-12 - NSH 5, CHI 1",CHI,Limited ReportFull Report,49.566666666667,32.18,63.48,33.64,24.19,50.03,32.6,17.32,37.24,31.75,0.0,2.13,0.00,1.83,2.97,38.09,18.16,30.69,37.17,9.26,10.37,47.18,6.65,8.1,45.07,0.0,2.15,0.00,0.00,73.41,8.68,20.61,29.62,5.47,12.0,31.31,0.0,0.0,-,0.00,100.00,15.99,35.89,30.83,4.25,16.08,20.91,0.0,0.0,-,0.0,100.0,0.0,94.29,0.943,19449
