Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2022-10-12 - CBJ 1, CAR 4",CBJ,50.4,84.98,41.59,64.51,31.7,37.27,1.06,3.84,2.68,3.12,27.22,33.49,8.56,13.71,6.32,7.96,0.0,1.91,18.59,19.96,13.54,8.8,0.0,0.98,14.53,39.65,6.75,17.56,1.05,0.95,0.93
"2022-10-12 - CBJ 1, CAR 4",CAR,84.98,50.4,64.51,41.59,37.27,31.7,3.84,1.06,3.12,2.68,33.49,27.22,13.71,8.56,7.96,6.32,1.91,0.0,19.96,18.59,8.8,13.54,0.98,0.0,39.65,14.53,17.56,6.75,0.95,1.05,1.07
"2022-10-12 - TOR 3, MTL 4",TOR,48.05,35.86,29.16,24.5,24.87,15.16,2.11,3.73,2.02,1.8,28.65,24.34,8.63,8.26,7.5,3.72,2.12,1.86,19.99,16.08,7.2,7.64,0.0,1.91,13.4,9.34,9.21,3.77,0.0,0.0,0.839
"2022-10-12 - TOR 3, MTL 4",MTL,35.86,48.05,24.5,29.16,15.16,24.87,3.73,2.11,1.8,2.02,24.34,28.65,8.26,8.63,3.72,7.5,1.86,2.12,16.08,19.99,7.64,7.2,1.91,0.0,9.34,13.4,3.77,9.21,0.0,0.0,1.161
"2022-10-12 - CHI 2, COL 5",CHI,27.87,49.89,17.81,34.1,13.23,25.87,0.0,0.94,1.72,1.55,17.34,20.26,6.87,5.85,3.85,1.95,0.0,0.0,10.25,14.76,6.82,4.05,0.0,0.95,10.45,24.79,2.8,17.27,0.0,0.0,0.964
"2022-10-12 - CHI 2, COL 5",COL,49.89,27.87,34.1,17.81,25.87,13.23,0.94,0.0,1.55,1.72,20.26,17.34,5.85,6.87,1.95,3.85,0.0,0.0,14.76,10.25,4.05,6.82,0.95,0.0,24.79,10.45,17.27,2.8,0.0,0.0,1.036
"2022-10-12 - SEA 4, ANA 5",SEA,57.98,32.09,48.23,22.35,37.26,18.8,1.08,1.89,3.54,1.26,31.57,20.98,15.33,6.36,14.13,3.71,1.08,0.94,16.54,14.44,8.62,7.39,0.0,1.03,24.28,9.09,14.5,5.69,0.0,0.0,0.928
"2022-10-12 - SEA 4, ANA 5",ANA,32.09,57.98,22.35,48.23,18.8,37.26,1.89,1.08,1.26,3.54,20.98,31.57,6.36,15.33,3.71,14.13,0.94,1.08,14.44,16.54,7.39,8.62,1.03,0.0,9.09,24.28,5.69,14.5,0.0,0.0,1.072
"2022-10-12 - VAN 3, EDM 5",VAN,47.5,36.59,36.28,22.85,27.35,17.47,2.13,0.94,2.18,1.56,19.94,18.11,6.69,5.41,2.19,4.56,1.06,0.94,13.43,12.59,6.61,7.43,0.0,0.0,25.16,16.82,18.56,4.52,1.11,0.0,1.024
"2022-10-12 - VAN 3, EDM 5",EDM,36.59,47.5,22.85,36.28,17.47,27.35,0.94,2.13,1.56,2.18,18.11,19.94,5.41,6.69,4.56,2.19,0.94,1.06,12.59,13.43,7.43,6.61,0.0,0.0,16.82,25.16,4.52,18.56,0.0,1.11,0.976
